% time spent exploring,episodes,mean 100 episode reward,steps
97,100,10.2,1211
95,200,10.5,2460
92,300,10.5,3712
90,400,10.6,4973
87,500,10.4,6215
85,600,10.8,7497
82,700,10.5,8751
80,800,10.8,10027
77,900,10.9,11317
75,1000,11.6,12672
72,1100,11.3,14006
69,1200,12.5,15455
66,1300,12.5,16902
63,1400,13.6,18459
60,1500,12.8,19940
57,1600,14.4,21576
54,1700,13.6,23138
51,1800,15.6,24893
47,1900,14.5,26539
44,2000,13.7,28112
41,2100,15.9,29899
37,2200,16.0,31702
33,2300,19.1,33813
28,2400,22.2,36236
24,2500,23.0,38733
18,2600,25.8,41516
9,2700,43.4,46054
2,2800,151.0,61356
2,2900,229.7,84524
2,3000,270.2,111749
2,3100,243.6,136307
2,3200,237.6,160266
2,3300,257.0,186166
2,3400,236.9,210054
2,3500,283.8,238638
2,3600,244.5,263284
2,3700,249.7,288453
2,3800,230.4,311690
2,3900,246.6,336547
2,4000,284.8,365225
2,4100,289.5,394374
2,4200,242.9,418861
2,4300,235.0,442563
2,4400,222.6,465020
2,4500,250.2,490241
