% time spent exploring,episodes,RL_Shallow,steps,RL_Deep
97,100,9.6,1152,10.2
95,200,9.7,2326,10.5
92,300,10.6,3586,10.5
90,400,10.2,4811,10.6
88,500,10,6014,10.4
85,600,11.1,7327,10.8
83,700,10.9,8618,10.5
80,800,11.5,9970,10.8
77,900,11.2,11287,10.9
75,1000,11.5,12634,11.6
72,1100,13.1,14142,11.3
69,1200,11.7,15512,12.5
66,1300,11.6,16868,12.5
63,1400,13.1,18374,13.6
60,1500,13.4,19912,12.8
57,1600,14.1,21525,14.4
54,1700,12.8,23000,13.6
51,1800,13.5,24546,15.6
48,1900,16.7,26412,14.5
44,2000,15.4,28152,13.7
40,2100,17.7,30124,15.9
37,2200,18,32122,16
32,2300,20.3,34353,19.1
27,2400,22.3,36782,22.2
22,2500,26.7,39650,23
16,2600,29.2,42768,25.8
3,2700,63.8,49351,43.4
2,2800,216.4,71189,151
2,2900,313.8,102767,229.7
2,3000,296.5,132614,270.2
2,3100,304.2,163234,243.6
2,3200,243.4,187776,237.6
2,3300,260.8,214054,257
2,3400,229.4,237190,236.9
2,3500,331.9,270580,283.8
2,3600,224.8,293263,244.5
2,3700,229.2,316386,249.7
2,3800,212.1,337799,230.4
2,3900,238.4,361837,246.6
2,4000,252.4,387278,284.8
2,4100,273.1,414791,289.5
2,4200,251.8,440176,242.9
2,4300,274.2,467791,235
2,4400,218,489795,222.6
,,,,250.2
