% time spent exploring,episodes,mean 100 episode reward,steps
96,100,9.9,1175
92,200,9.6,2339
87,300,11.8,3721
83,400,11.0,5016
79,500,11.1,6330
75,600,11.0,7630
70,700,11.0,8925
66,800,11.4,10270
61,900,12.4,11712
56,1000,13.0,13210
51,1100,14.5,14856
46,1200,14.5,16504
40,1300,16.2,18323
33,1400,18.3,20351
25,1500,23.6,22911
14,1600,30.8,26188
2,1700,72.4,33632
2,1800,229.2,56750
2,1900,268.4,83795
2,2000,273.9,111389
2,2100,271.9,138775
2,2200,272.9,166265
2,2300,245.7,191036
2,2400,244.8,215715
2,2500,274.6,243376
2,2600,265.4,270114
2,2700,235.1,293825
