# {"t_start": 1559087458.4049904, "env_id": "DeepCars-v3"} 
r,l,t
-992,9,0.84427
-992,9,0.851938
-990,11,0.86044
-992,9,0.868409
-993,8,0.874961
-993,8,0.881537
-992,9,0.888997
-991,10,0.89767
-991,10,0.905599
-992,9,0.912972
-990,11,0.922712
-992,9,0.929742
-991,10,0.93773
-989,12,0.946498
-989,12,0.95599
-987,14,0.967567
-993,8,0.973839
-970,31,0.996763
-990,11,1.005365
-993,8,1.011729
-993,8,1.018151
-985,16,1.030283
-988,13,1.04033
-992,9,1.046992
-991,10,1.054785
-993,8,1.06146
-991,10,1.069079
-993,8,1.075696
-992,9,1.082738
-981,20,1.0993
-993,8,1.106406
-989,12,1.116349
-992,9,1.123088
-989,12,1.133116
-991,10,1.141207
-971,30,1.164321
-993,8,1.170735
-993,8,1.177604
-993,8,1.184227
-992,9,1.191575
-988,13,1.202503
-991,10,1.210081
-988,13,1.220097
-993,8,1.226618
-987,14,1.237208
-991,10,1.245798
-992,9,1.252783
-991,10,1.260413
-991,10,1.268887
-985,16,1.281149
-993,8,1.288481
-986,15,1.299015
-992,9,1.306422
-987,14,1.318908
-993,8,1.32542
-993,8,1.332206
-993,8,1.339187
-991,10,1.347529
-992,9,1.355459
-987,14,1.366471
-992,9,1.37389
-992,9,1.381354
-990,11,1.390245
-979,22,1.407442
-983,18,1.421714
-992,9,1.429202
-988,13,1.440286
-985,16,1.452912
-989,12,1.463305
-992,9,1.471334
-990,11,1.480262
-991,10,1.489021
-991,10,1.497244
-983,18,1.51192
-976,25,1.532488
-992,9,1.539442
-989,12,1.549846
-990,11,1.558388
-992,9,1.566033
-992,9,1.573494
-991,10,1.581532
-991,10,1.589983
-993,8,1.596811
-985,16,1.610328
-985,16,1.624207
-983,18,1.641012
-987,14,1.694458
-993,8,1.721889
-979,22,1.795212
-992,9,1.82568
-991,10,1.859614
-992,9,1.889894
-987,14,1.937027
-984,17,1.992821
-990,11,2.030242
-991,10,2.062862
-993,8,2.090295
-987,14,2.136402
-988,13,2.179509
-991,10,2.212994
-990,11,2.249597
-989,12,2.289363
-992,9,2.320361
-993,8,2.347152
-991,10,2.381158
-989,12,2.421669
-983,18,2.481848
-987,14,2.528264
-987,14,2.574584
-987,14,2.621457
-993,8,2.648304
-990,11,2.68484
-987,14,2.731565
-992,9,2.761912
-991,10,2.795604
-987,14,2.841501
-992,9,2.871645
-993,8,2.898149
-989,12,2.938539
-987,14,2.986116
-988,13,3.029925
-989,12,3.069974
-993,8,3.096863
-992,9,3.127198
-990,11,3.163979
-988,13,3.206933
-987,14,3.253014
-991,10,3.285965
-990,11,3.323188
-985,16,3.375964
-992,9,3.406044
-983,18,3.465067
-992,9,3.495106
-992,9,3.52605
-993,8,3.552193
-988,13,3.595067
-992,9,3.624794
-991,10,3.657207
-993,8,3.683281
-987,14,3.72847
-992,9,3.758193
-993,8,3.784688
-993,8,3.810658
-983,18,3.868732
-989,12,3.90718
-984,17,3.962517
-993,8,3.988441
-989,12,4.027568
-986,15,4.076159
-988,13,4.118711
-993,8,4.144897
-992,9,4.173645
-981,20,4.238463
-991,10,4.271479
-993,8,4.296849
-992,9,4.325508
-992,9,4.353503
-989,12,4.396634
-990,11,4.43294
-991,10,4.464894
-992,9,4.49352
-985,16,4.544389
-991,10,4.576458
-986,15,4.62463
-991,10,4.657374
-990,11,4.69272
-989,12,4.731718
-992,9,4.760789
-992,9,4.789228
-993,8,4.814667
-993,8,4.840271
-982,19,4.900914
-990,11,4.935993
-993,8,4.962379
-990,11,4.998912
-992,9,5.027995
-993,8,5.053914
-988,13,5.096396
-993,8,5.122815
-990,11,5.15875
-992,9,5.188226
-991,10,5.221754
-993,8,5.248625
-991,10,5.282184
-993,8,5.308285
-982,19,5.370316
-993,8,5.395779
-991,10,5.429235
-991,10,5.462167
-992,9,5.491754
-981,20,5.556743
-982,19,5.618847
-988,13,5.661246
-991,10,5.694304
-993,8,5.7212
-993,8,5.747669
-978,23,5.822223
-991,10,5.854381
-990,11,5.89054
-981,20,5.956728
-988,13,5.999334
-983,18,6.058211
-992,9,6.087272
-992,9,6.116934
-988,13,6.159729
-990,11,6.195758
-983,18,6.253483
-990,11,6.289092
-988,13,6.331135
-982,19,6.392039
-991,10,6.424766
-992,9,6.453792
-989,12,6.491942
-982,19,6.553087
-988,13,6.594786
-988,13,6.637153
-992,9,6.666229
-993,8,6.692198
-985,16,6.743793
-992,9,6.772873
-992,9,6.802567
-991,10,6.835726
-988,13,6.879384
-987,14,6.925969
-989,12,6.967024
-992,9,6.997531
-988,13,7.040447
-985,16,7.092822
-992,9,7.123127
-992,9,7.152759
-987,14,7.199655
-984,17,7.256809
-993,8,7.28352
-987,14,7.329736
-984,17,7.386882
-987,14,7.433794
-985,16,7.487136
-993,8,7.51462
-992,9,7.544934
-990,11,7.581765
-989,12,7.622136
-988,13,7.665927
-985,16,7.71972
-989,12,7.759953
-985,16,7.814414
-990,11,7.851424
-992,9,7.882016
-981,20,7.94913
-991,10,7.983317
-990,11,8.020335
-992,9,8.05108
-990,11,8.088101
-989,12,8.128454
-993,8,8.155233
-993,8,8.182409
-993,8,8.209561
-989,12,8.250141
-984,17,8.306636
-987,14,8.350568
-988,13,8.390359
-984,17,8.442239
-985,16,8.492642
-992,9,8.522103
-993,8,8.547991
-993,8,8.573894
-993,8,8.599024
-993,8,8.624845
-984,17,8.679526
-984,17,8.733641
-978,23,8.807145
-987,14,8.854111
-977,24,8.930879
-990,11,8.966102
-985,16,9.017604
-977,24,9.096786
-990,11,9.132844
-987,14,9.178328
-986,15,9.227829
-989,12,9.268012
-985,16,9.320001
-991,10,9.352681
-987,14,9.398972
-974,27,9.487308
-990,11,9.523528
-992,9,9.553926
-991,10,9.586926
-991,10,9.619326
-989,12,9.658614
-990,11,9.693895
-988,13,9.736038
-990,11,9.771851
-993,8,9.798046
-992,9,9.830528
-992,9,9.861313
-993,8,9.887643
-991,10,9.920294
-989,12,9.958599
-982,19,10.018578
-987,14,10.063447
-986,15,10.111205
-992,9,10.139879
-992,9,10.169493
-986,15,10.217146
-988,13,10.258187
-993,8,10.284038
-992,9,10.313523
-990,11,10.348981
-990,11,10.384851
-993,8,10.411055
-992,9,10.440321
-985,16,10.491906
-988,13,10.533699
-988,13,10.575172
-991,10,10.607402
-991,10,10.639571
-981,20,10.704178
-987,14,10.750058
-989,12,10.789274
-993,8,10.815367
-974,27,10.901127
-990,11,10.936212
-991,10,10.968687
-992,9,10.997308
-993,8,11.022644
-977,24,11.099575
-993,8,11.125562
-993,8,11.151132
-984,17,11.211792
-993,8,11.238002
-991,10,11.270989
-989,12,11.309564
-979,22,11.381519
-990,11,11.421898
-989,12,11.470013
-993,8,11.502899
-993,8,11.538179
-991,10,11.584899
-979,22,11.684817
-958,43,11.87925
-992,9,11.920686
-992,9,11.962349
-977,24,12.07104
-990,11,12.121839
-989,12,12.176818
-992,9,12.217138
-988,13,12.275336
-982,19,12.356742
-987,14,12.41538
-988,13,12.470706
-989,12,12.524699
-993,8,12.561229
-993,8,12.596523
-991,10,12.641097
-988,13,12.699707
-989,12,12.754047
-975,26,12.870968
-987,14,12.932988
-978,23,13.035455
-990,11,13.084569
-980,21,13.180096
-985,16,13.254124
-987,14,13.316595
-993,8,13.352443
-991,10,13.398293
-986,15,13.466794
-993,8,13.504091
-989,12,13.557933
-993,8,13.594111
-982,19,13.679951
-987,14,13.743543
-992,9,13.784423
-991,10,13.829534
-989,12,13.888732
-991,10,13.934788
-983,18,14.015486
-991,10,14.060203
-948,53,14.294388
-987,14,14.356945
-993,8,14.393044
-991,10,14.437928
-993,8,14.474151
-992,9,14.514796
-976,25,14.625963
-992,9,14.666804
-991,10,14.711642
-990,11,14.759645
-987,14,14.822057
-991,10,14.866816
-988,13,14.925157
-982,19,15.00929
-980,21,15.10229
-989,12,15.155842
-985,16,15.227595
-992,9,15.267906
-979,22,15.365664
-988,13,15.423416
-979,22,15.521105
-990,11,15.570415
-991,10,15.615216
-991,10,15.660953
-979,22,15.758025
-986,15,15.825052
-990,11,15.874155
-979,22,15.97149
-989,12,16.025214
-983,18,16.106729
-993,8,16.14268
-985,16,16.214452
-989,12,16.26861
-993,8,16.303745
-985,16,16.374031
-986,15,16.438699
-987,14,16.497538
-988,13,16.552237
-989,12,16.603442
-981,20,16.690119
-989,12,16.743982
-987,14,16.807149
-993,8,16.843759
-988,13,16.902577
-993,8,16.939517
-991,10,16.985595
-990,11,17.035643
-993,8,17.073069
-986,15,17.142331
-982,19,17.228551
-990,11,17.278577
-991,10,17.324102
-987,14,17.388207
-988,13,17.447024
-990,11,17.497608
-991,10,17.543138
-990,11,17.593051
-987,14,17.656237
-992,9,17.697398
-982,19,17.783101
-991,10,17.828275
-983,18,17.908967
-991,10,17.954095
-974,27,18.073362
-993,8,18.109446
-992,9,18.150195
-989,12,18.204331
-988,13,18.27013
-984,17,18.346298
-993,8,18.382602
-987,14,18.445082
-990,11,18.49376
-990,11,18.543189
-990,11,18.592587
-989,12,18.64571
-993,8,18.681003
-986,15,18.746674
-977,24,18.85023
-992,9,18.891309
-975,26,19.009338
-993,8,19.046332
-986,15,19.114876
-993,8,19.151942
-986,15,19.220851
-991,10,19.266873
-990,11,19.316921
-989,12,19.371653
-990,11,19.422277
-982,19,19.507015
-986,15,19.573735
-993,8,19.609955
-992,9,19.650491
-993,8,19.686664
-993,8,19.723026
