% time spent exploring,episodes,mean 100 episode reward,steps
98,100,-989.1,1177
97,200,-990.0,2272
96,300,-989.7,3402
95,400,-988.4,4662
94,500,-988.6,5907
93,600,-989.2,7084
91,700,-988.9,8294
90,800,-988.2,9577
89,900,-989.3,10745
88,1000,-988.6,11982
86,1100,-987.9,13288
85,1200,-988.7,14519
84,1300,-988.8,15742
83,1400,-989.3,16914
82,1500,-988.0,18212
80,1600,-989.2,19389
79,1700,-990.0,20486
78,1800,-988.7,21716
77,1900,-989.8,22840
76,2000,-988.2,24115
75,2100,-989.5,25269
74,2200,-989.2,26453
72,2300,-989.4,27608
