# {"t_start": 1558065481.1933036, "env_id": "DeepCars-v0"} 
r,l,t
6,8,0.885227
6,8,0.891936
6,8,0.899506
8,10,0.907732
11,13,0.918382
14,16,0.931245
13,15,0.943696
16,18,0.958894
7,9,0.966632
20,22,0.984981
6,8,0.991748
7,9,1.000032
7,9,1.008661
13,15,1.022335
18,20,1.039253
8,10,1.048096
10,12,1.058457
6,8,1.065479
14,16,1.079405
7,9,1.087266
11,13,1.098415
7,9,1.10632
16,18,1.121839
8,10,1.130553
19,21,1.148107
6,8,1.155319
8,10,1.164098
21,23,1.186309
9,11,1.194436
9,11,1.201896
8,10,1.208571
11,13,1.221099
6,8,1.227818
12,14,1.237619
6,8,1.243109
9,11,1.250338
16,18,1.261904
12,14,1.271383
24,26,1.29041
8,10,1.297597
8,10,1.304456
9,11,1.312058
8,10,1.32011
7,9,1.327859
11,13,1.339682
10,12,1.351612
7,9,1.36048
35,37,1.395647
12,14,1.409086
11,13,1.422838
10,12,1.434845
7,9,1.443953
7,9,1.45244
8,10,1.462414
7,9,1.472413
9,11,1.485405
14,16,1.502185
14,16,1.522225
17,19,1.547356
6,8,1.55665
12,14,1.576437
7,9,1.592026
7,9,1.602111
9,11,1.615514
8,10,1.626603
8,10,1.636918
13,15,1.652018
13,15,1.666994
6,8,1.675225
9,11,1.686165
12,14,1.700382
11,13,1.713351
12,14,1.728163
7,9,1.737495
6,8,1.746328
6,8,1.755068
10,12,1.768453
17,19,1.788338
11,13,1.806196
6,8,1.814677
29,31,1.988091
8,10,2.03918
12,14,2.109495
12,14,2.178709
6,8,2.218402
12,14,2.286672
9,11,2.339477
11,13,2.402842
7,9,2.446467
9,11,2.500552
6,8,2.539882
8,10,2.58888
13,15,2.66404
8,10,2.714101
9,11,2.769478
11,13,2.833458
9,11,2.887266
11,13,2.952265
7,9,2.997377
9,11,3.054074
7,9,3.100902
6,8,3.141015
7,9,3.188982
8,10,3.232284
8,10,3.275856
9,11,3.320594
26,28,3.459633
11,13,3.526138
10,12,3.586201
8,10,3.63685
10,12,3.69669
8,10,3.746163
12,14,3.817117
7,9,3.86207
6,8,3.902254
9,11,3.958382
7,9,4.004105
11,13,4.069563
