# {"t_start": 1558056922.3839011, "env_id": "DeepCars-v0"} 
r,l,t
7,9,2.077119
9,11,2.094819
11,13,2.11649
6,8,2.130511
6,8,2.144591
11,13,2.16793
6,8,2.182478
7,9,2.199016
29,31,2.254436
9,11,2.274663
6,8,2.289676
6,8,2.304906
10,12,2.326833
7,9,2.34323
22,24,2.385663
7,9,2.402058
11,13,2.427094
7,9,2.443616
6,8,2.458145
9,11,2.477755
18,20,2.512971
7,9,2.52926
7,9,2.545671
22,24,2.587697
9,11,2.606843
12,14,2.630952
12,14,2.655322
22,24,2.69655
8,10,2.714266
13,15,2.739831
18,20,2.773816
21,23,2.812526
10,12,2.833155
14,16,2.860357
6,8,2.874453
17,19,2.906495
8,10,2.923841
6,8,2.937806
8,10,2.955124
8,10,2.972271
7,9,2.987811
8,10,3.005131
9,11,3.024136
15,17,3.053148
6,8,3.067182
11,13,3.089538
10,12,3.110262
8,10,3.127491
8,10,3.144977
9,11,3.163826
8,10,3.181165
11,13,3.203474
6,8,3.217657
14,16,3.245136
11,13,3.267496
7,9,3.283809
15,17,3.313943
9,11,3.332835
7,9,3.348211
12,14,3.372138
7,9,3.3878
9,11,3.406955
8,10,3.4246
12,14,3.448802
6,8,3.462819
6,8,3.477003
16,18,3.507805
12,14,3.532185
19,21,3.568201
20,22,3.605473
8,10,3.622987
11,13,3.645717
8,10,3.663249
7,9,3.67909
7,9,3.694975
12,14,3.719371
10,12,3.740269
7,9,3.756131
6,8,3.770282
15,17,3.799607
10,12,3.990169
9,11,4.055576
7,9,4.109555
10,12,4.180895
6,8,4.231682
15,17,4.352586
11,13,4.445004
9,11,4.521697
8,10,4.590373
12,14,4.686188
14,16,4.795536
6,8,4.85014
9,11,4.925836
7,9,4.988036
15,17,5.104206
6,8,5.157242
10,12,5.231129
7,9,5.28611
16,18,5.395097
7,9,5.451279
17,19,5.572195
6,8,5.632442
19,21,5.781595
14,16,5.894889
6,8,5.952702
8,10,6.023761
12,14,6.122425
10,12,6.207143
13,15,6.314772
6,8,6.371864
7,9,6.435148
8,10,6.50429
7,9,6.566494
18,20,6.702
14,16,6.811137
9,11,6.885613
13,15,6.987668
10,12,7.072114
9,11,7.149935
13,15,7.256529
9,11,7.33615
10,12,7.421768
10,12,7.50715
11,13,7.598224
20,22,7.749913
9,11,7.825166
14,16,7.932438
11,13,8.018006
7,9,8.078564
7,9,8.141651
7,9,8.201654
10,12,8.280324
7,9,8.340862
6,8,8.395898
8,10,8.464365
8,10,8.533197
6,8,8.589829
7,9,8.653257
16,18,8.781581
7,9,8.844533
11,13,8.935268
11,13,9.028554
11,13,9.117519
7,9,9.176505
7,9,9.230757
13,15,9.322264
14,16,9.419047
9,11,9.487695
7,9,9.547894
10,12,9.630924
8,10,9.700356
15,17,9.824132
12,14,9.922305
16,18,10.047553
6,8,10.104063
14,16,10.217706
12,14,10.317176
12,14,10.417473
7,9,10.481218
9,11,10.557673
8,10,10.626684
6,8,10.68209
13,15,10.791631
8,10,10.859905
13,15,10.962337
11,13,11.051035
19,21,11.193277
13,15,11.295927
9,11,11.371694
9,11,11.450188
8,10,11.522111
15,17,11.642101
21,23,11.804296
9,11,11.883424
8,10,11.954115
6,8,12.010936
9,11,12.088112
19,21,12.242179
9,11,12.318446
18,20,12.454072
12,14,12.552464
11,13,12.644206
10,12,12.729015
8,10,12.800286
13,15,12.907756
11,13,13.000577
10,12,13.086575
6,8,13.143693
6,8,13.197457
11,13,13.279093
8,10,13.340034
16,18,13.449111
6,8,13.498763
8,10,13.563649
6,8,13.616908
6,8,13.670693
6,8,13.724623
13,15,13.828643
7,9,13.891456
7,9,13.955362
11,13,14.048862
7,9,14.113262
14,16,14.226256
6,8,14.283056
11,13,14.373202
6,8,14.428516
7,9,14.490295
10,12,14.578365
9,11,14.651549
8,10,14.719911
7,9,14.782492
8,10,14.853112
7,9,14.91621
15,17,15.035837
7,9,15.099094
10,12,15.182987
12,14,15.277942
8,10,15.345976
14,16,15.45399
13,15,15.555563
14,16,15.663691
9,11,15.738495
7,9,15.80101
6,8,15.857094
12,14,15.955076
12,14,16.054357
6,8,16.111408
12,14,16.212247
10,12,16.299294
8,10,16.371156
8,10,16.443079
6,8,16.499951
8,10,16.5698
6,8,16.625927
12,14,16.723144
15,17,16.842261
9,11,16.919403
15,17,17.040056
7,9,17.105731
16,18,17.232759
9,11,17.308722
11,13,17.39714
6,8,17.448928
12,14,17.539946
13,15,17.64242
10,12,17.725017
10,12,17.809754
13,15,17.917139
10,12,18.002866
6,8,18.061002
7,9,18.124511
13,15,18.233929
15,17,18.352708
12,14,18.449432
6,8,18.506128
10,12,18.590198
22,24,18.758514
6,8,18.816439
14,16,18.930161
11,13,19.022092
16,18,19.14767
8,10,19.217523
