# {"t_start": 1558128554.7334826, "env_id": "DeepCars-v0"} 
r,l,t
9,11,1.350859
32,34,1.376969
12,14,1.389285
20,22,1.406447
12,14,1.416809
6,8,1.42304
6,8,1.429135
11,13,1.43952
17,19,1.453253
10,12,1.462587
6,8,1.468418
9,11,1.476917
14,16,1.48894
9,11,1.49715
16,18,1.510557
18,20,1.524887
6,8,1.530809
15,17,1.543476
10,12,1.552057
16,18,1.565419
11,13,1.574709
11,13,1.584206
9,11,1.592379
12,14,1.6031
11,13,1.612906
8,10,1.621478
7,9,1.628656
11,13,1.638873
12,14,1.649517
6,8,1.656161
14,16,1.668433
10,12,1.67748
10,12,1.686868
26,28,1.708971
9,11,1.717747
11,13,1.72869
6,8,1.735203
7,9,1.742258
7,9,1.749596
7,9,1.756196
7,9,1.763254
6,8,1.769553
7,9,1.776814
7,9,1.783698
13,15,1.795788
7,9,1.803465
20,22,1.820576
12,14,1.831577
10,12,1.840755
6,8,1.847247
6,8,1.853756
9,11,1.862889
6,8,1.869108
20,22,1.886093
6,8,1.892827
14,16,1.904629
17,19,1.9206
14,16,1.933076
8,10,1.941055
6,8,1.947413
8,10,1.955548
17,19,1.971282
6,8,1.978237
7,9,1.98585
7,9,1.993032
11,13,2.003837
10,12,2.013317
8,10,2.020977
7,9,2.028383
6,8,2.034803
7,9,2.042512
9,11,2.051786
6,8,2.058836
6,8,2.065672
8,10,2.074418
6,8,2.081089
15,17,2.095753
8,10,2.104485
9,11,2.113192
7,9,2.12076
9,11,2.129549
10,12,2.2321
16,18,2.323436
7,9,2.365288
10,12,2.42033
7,9,2.462927
7,9,2.506328
6,8,2.545205
14,16,2.622658
10,12,2.679899
15,17,2.762413
7,9,2.807101
6,8,2.847505
9,11,2.903528
10,12,2.96464
11,13,3.031363
17,19,3.147543
9,11,3.216645
6,8,3.266927
13,15,3.358455
11,13,3.439484
19,21,3.566842
7,9,3.621379
6,8,3.670086
6,8,3.719099
12,14,3.805327
7,9,3.860607
8,10,3.92122
6,8,3.970029
7,9,4.024951
16,18,4.133736
7,9,4.187963
10,12,4.260058
6,8,4.308025
13,15,4.397859
6,8,4.444765
7,9,4.498839
13,15,4.588136
10,12,4.661926
7,9,4.720063
6,8,4.77189
6,8,4.823174
11,13,4.916472
9,11,4.987352
9,11,5.059608
9,11,5.131064
20,22,5.274428
7,9,5.330544
8,10,5.391695
13,15,5.484781
29,31,5.67961
9,11,5.748578
11,13,5.830503
21,23,5.97541
17,19,6.092182
17,19,6.205956
7,9,6.258866
14,16,6.354549
7,9,6.411556
9,11,6.481842
6,8,6.532828
6,8,6.583665
11,13,6.667109
14,16,6.772874
6,8,6.825039
6,8,6.876359
11,13,6.956221
9,11,7.024795
7,9,7.082217
14,16,7.183328
14,16,7.284748
6,8,7.336756
7,9,7.393608
12,14,7.481867
9,11,7.551117
8,10,7.611989
21,23,7.751234
7,9,7.806492
6,8,7.85577
15,17,7.960827
12,14,8.048333
10,12,8.127388
6,8,8.178399
8,10,8.24121
20,22,8.376238
14,16,8.473731
28,30,8.665582
7,9,8.72367
12,14,8.814404
9,11,8.885574
8,10,8.95059
10,12,9.027937
6,8,9.086544
9,11,9.158499
8,10,9.223239
10,12,9.300272
11,13,9.383841
7,9,9.441836
9,11,9.511242
9,11,9.580574
11,13,9.662859
10,12,9.738503
7,9,9.796249
15,17,9.903491
13,15,9.997826
6,8,10.046026
10,12,10.123084
12,14,10.205961
9,11,10.272012
7,9,10.326253
22,24,10.474244
11,13,10.557321
12,14,10.649443
7,9,10.709128
15,17,10.819283
6,8,10.870726
7,9,10.92865
17,19,11.0499
8,10,11.113806
8,10,11.179465
11,13,11.264257
6,8,11.315438
10,12,11.392226
8,10,11.457958
14,16,11.562313
6,8,11.614542
6,8,11.665757
12,14,11.761237
9,11,11.831182
8,10,11.893443
22,24,12.037872
7,9,12.092474
6,8,12.141896
21,23,12.285571
12,14,12.373181
6,8,12.423275
11,13,12.504352
13,15,12.595326
16,18,12.707157
8,10,12.771838
12,14,12.862548
6,8,12.914446
7,9,12.972666
12,14,13.06328
6,8,13.115269
11,13,13.199992
7,9,13.259039
7,9,13.3179
12,14,13.407876
14,16,13.508494
8,10,13.571501
32,34,13.78455
17,19,13.904469
9,11,13.973282
7,9,14.028199
14,16,14.125233
6,8,14.174447
15,17,14.284067
9,11,14.353615
8,10,14.417929
8,10,14.480215
9,11,14.549427
10,12,14.625175
7,9,14.681635
7,9,14.738625
7,9,14.79563
6,8,14.846298
11,13,14.929235
6,8,14.979496
6,8,15.027017
7,9,15.081293
27,29,15.256604
6,8,15.305523
6,8,15.354824
25,27,15.52386
12,14,15.61217
19,21,15.740689
6,8,15.789725
20,22,15.927439
6,8,15.97759
6,8,16.028407
8,10,16.090866
17,19,16.211162
6,8,16.262722
7,9,16.319259
6,8,16.369291
16,18,16.481747
10,12,16.556941
12,14,16.644547
13,15,16.738466
9,11,16.807416
8,10,16.871291
17,19,16.991226
12,14,17.077381
9,11,17.145189
8,10,17.20624
9,11,17.275399
