% time spent exploring,episodes,mean 100 episode reward,steps
98,100,10.3,1219
97,200,10.3,2451
96,300,9.8,3632
95,400,10.0,4831
93,500,11.4,6169
92,600,10.9,7462
91,700,10.7,8736
90,800,10.9,10024
88,900,10.8,11303
87,1000,10.4,12547
86,1100,11.7,13919
85,1200,11.5,15266
83,1300,11.7,16638
82,1400,10.1,17848
81,1500,11.2,19166
79,1600,10.7,20436
78,1700,11.8,21820
77,1800,12.1,23228
75,1900,11.7,24594
74,2000,10.4,25831
73,2100,11.8,27214
71,2200,12.6,28670
70,2300,13.0,30174
69,2400,12.0,31579
67,2500,14.0,33175
66,2600,11.8,34556
64,2700,12.7,36026
63,2800,13.2,37549
61,2900,12.3,38977
60,3000,13.7,40551
58,3100,15.2,42273
57,3200,14.0,43873
55,3300,13.5,45427
53,3400,15.1,47138
52,3500,13.7,48705
50,3600,14.2,50329
48,3700,15.3,52057
47,3800,15.1,53765
45,3900,14.5,55415
43,4000,16.5,57263
42,4100,17.1,59174
40,4200,15.8,60957
38,4300,17.7,62925
36,4400,16.3,64754
34,4500,19.6,66919
32,4600,21.5,69273
29,4700,19.7,71445
27,4800,23.2,73964
25,4900,21.5,76310
22,5000,25.3,79040
19,5100,27.2,81963
16,5200,34.0,85561
11,5300,48.1,90569
5,5400,61.1,96880
2,5500,190.8,116160
2,5600,252.2,141578
2,5700,219.5,163726
2,5800,239.5,187872
2,5900,223.3,210406
2,6000,232.5,233855
2,6100,270.8,261135
2,6200,249.8,286319
2,6300,274.4,313960
2,6400,268.2,340975
2,6500,247.3,365909
2,6600,282.1,394320
2,6700,257.6,420281
2,6800,246.7,445148
2,6900,224.6,467806
2,7000,271.0,495109
2,7100,297.2,525029
2,7200,285.0,553725
